Reference, Quantity, Value, Footprint, Datasheet, Part Number, Note
C1 ,1,"47uF","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","http://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf","ECEA0JKA470",""
C3 C2 C8 ,3,"1uF/25V","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","http://www.farnell.com/datasheets/2738428.pdf?_ga=2.249617286.1297140431.1581668985-797642152.1567873553","C315C105K3R5TA",""
C5 C7 C4 C6 ,4,"68pF/5%/C0G","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","http://www.farnell.com/datasheets/2045792.pdf?_ga=2.211851028.1297140431.1581668985-797642152.1567873553","K680J15C0GF53L2",""
FB1 ,1,"Ferrite_Bead","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","http://www.farnell.com/datasheets/2048185.pdf?_ga=2.177853605.1297140431.1581668985-797642152.1567873553","BL02RN1R2M2B",""
J1 ,1,"AudioJack3","Jack:FC68131CLIFF","http://www.farnell.com/datasheets/2028381.pdf?_ga=2.14349751.1297140431.1581668985-797642152.1567873553","FC68131",""
J2 ,1,"Header 1X4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","For Breakout/Module"
JP1 ,1,"SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels","~","","Not Populated, Configuration Jumper"
JP2 ,1,"SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~","","Not Populated, Configuration Jumper"
P1 P2 ,2,"Conn_01x15","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","61301511121",""
R15 R14 ,2,"30K9","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","http://www.farnell.com/datasheets/2046132.pdf?_ga=2.183161638.1297140431.1581668985-797642152.1567873553","MRS25000C3092FCT00",""
R2 R1 R4 R3 R8 R16 ,6,"62K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","http://www.farnell.com/datasheets/1723855.pdf?_ga=2.219854617.1297140431.1581668985-797642152.1567873553","LR0204F62K",""
R5 ,1,"1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","http://www.farnell.com/datasheets/1723855.pdf?_ga=2.14193847.1297140431.1581668985-797642152.1567873553","LR0204F1K0",""
R6 R9 R12 R13 R10 R11 ,6,"47K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773241&DocType=DS&DocLang=English","LR0204F47K",""
R7 ,1,"56K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","http://www.farnell.com/datasheets/2710513.pdf?_ga=2.215127959.1297140431.1581668985-797642152.1567873553","MFR3-56KFC",""
RV1 ,1,"Trimpot 12 turns","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","http://www.farnell.com/datasheets/2061259.pdf?_ga=2.186685352.1297140431.1581668985-797642152.1567873553","3266W-1-104LF",""
RV2 ,1,"R_POT_Small","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Horizontal","http://www.farnell.com/datasheets/1727905.pdf?_ga=2.145430455.2071986345.1583145430-1634400480.1575982402","PDB181-K220K-103B",""
U1 ,1,"Quad Opamp","Package_DIP:DIP-14_W7.62mm","https://www.ti.com/lit/ds/symlink/lm6144.pdf","LM6144BIN/NOPB",""
U2 ,1,"Quad Comparator","Package_DIP:DIP-14_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX941-MAX944.pdf","MAX944CPD+",""